arch,regime,source,benchmark,peak_pck,mean_nn_a_to_b,mean_nn_b_to_a,mean_nn_sym
glunet,FF,spair,synthetic,3.8373,0.0033966454211622,0.0026235037948936,0.0030100746080279
glunet,TT,spair,synthetic,21.6568,0.0033966454211622,0.0026235037948936,0.0030100746080279
raft,FF,spair,synthetic,4.2572,0.0033966454211622,0.0026235037948936,0.0030100746080279
catspp,FF,spair,tss,5.2821,0.0392457991838455,0.0015140038449317,0.0203799015143886
catspp,TT,spair,tss,60.5773,0.0392457991838455,0.0015140038449317,0.0203799015143886
glunet,FF,spair,tss,5.711,0.0392457991838455,0.0015140038449317,0.0203799015143886
glunet,TT,spair,tss,49.9068,0.0392457991838455,0.0015140038449317,0.0203799015143886
raft,FF,spair,tss,6.1812,0.0392457991838455,0.0015140038449317,0.0203799015143886
catspp,FF,synthetic,flyingthings,58.1203,0.0024105140473693,0.0021897160913795,0.0023001150693744
catspp,TT,synthetic,flyingthings,82.2555,0.0024105140473693,0.0021897160913795,0.0023001150693744
glunet,FF,synthetic,flyingthings,69.5375,0.0024105140473693,0.0021897160913795,0.0023001150693744
